producto,categoria,precio,unidad,descripcion
Martillo carpintero 500g,Herramientas manuales,8500,unidad,Martillo carpintero mango fibra vidrio 500g
Destornillador Phillips PH2,Herramientas manuales,3200,unidad,Destornillador punta Phillips PH2 mango ergonomico
Destornillador plano 6mm,Herramientas manuales,2800,unidad,Destornillador punta plana 6mm mango ergonomico
Pinza universal 8 pulgadas,Herramientas manuales,6500,unidad,Pinza universal cromada 8 pulgadas
Llave francesa 10 pulgadas,Herramientas manuales,12500,unidad,Llave francesa ajustable 10 pulgadas cromada
Cinta metrica 5m,Herramientas manuales,4200,unidad,Cinta metrica retractil 5 metros con freno
Nivel de burbuja 40cm,Herramientas manuales,5800,unidad,Nivel de aluminio 40cm con 3 burbujas
Taladro percutor 13mm 750W,Herramientas electricas,45000,unidad,Taladro percutor 13mm 750W velocidad variable
Amoladora angular 115mm 850W,Herramientas electricas,38000,unidad,Amoladora angular 4 pulgadas 850W
Atornillador inalambrico 12V,Herramientas electricas,35000,unidad,Atornillador bateria 12V litio con cargador
Sierra caladora 550W,Herramientas electricas,28000,unidad,Sierra caladora velocidad variable 550W
Pintura latex interior 20L blanca,Pinturas,32000,balde 20L,Pintura latex interior lavable blanco 20 litros
Pintura latex exterior 20L blanca,Pinturas,42000,balde 20L,Pintura latex exterior impermeabilizante blanco 20L
Pintura sintetica brillante 4L,Pinturas,18500,lata 4L,Esmalte sintetico brillante 4 litros varios colores
Rodillo lana 22cm,Pinturas,3500,unidad,Rodillo de lana para pintura latex 22cm con soporte
Brocha 2 pulgadas,Pinturas,1800,unidad,Brocha cerda natural 2 pulgadas para pintura
Cemento portland 50kg,Construccion,9800,bolsa,Cemento portland normal bolsa 50kg
Arena fina m3,Construccion,45000,m3,Arena fina lavada precio por metro cubico
Ladrillo hueco 12x18x33,Construccion,180,unidad,Ladrillo hueco portante 12x18x33cm
Cal hidratada 25kg,Construccion,4500,bolsa,Cal hidratada para revoque bolsa 25kg
Hierro 10mm barra 12m,Construccion,12000,barra,Hierro de construccion 10mm barra de 12 metros
Cano PVC 110mm x 4m,Plomeria,8500,unidad,Cano PVC desague 110mm por 4 metros
Cano PPR agua caliente 20mm,Plomeria,3200,unidad,Cano PPR termofusion agua caliente 20mm x 4m
Codo PVC 110mm 90 grados,Plomeria,1200,unidad,Codo PVC desague 110mm 90 grados
Griferia monocomando cocina,Plomeria,22000,unidad,Griferia monocomando para cocina cromada
Inodoro de loza blanco,Plomeria,35000,unidad,Inodoro de loza blanco con mochila completo
Cable unipolar 2.5mm rollo 100m,Electricidad,28000,rollo 100m,Cable unipolar 2.5mm rollo 100 metros varios colores
Cable unipolar 1.5mm rollo 100m,Electricidad,18000,rollo 100m,Cable unipolar 1.5mm rollo 100 metros varios colores
Termica bipolar 20A,Electricidad,8500,unidad,Llave termica bipolar 20 Amperes
Tomacorriente doble IRAM,Electricidad,2800,unidad,Tomacorriente doble IRAM 10A con tapa
Interruptor de luz simple,Electricidad,1500,unidad,Interruptor de luz punto simple con tapa
Tornillo autoperforante 8x1,Tornilleria,800,caja 100u,Tornillo autoperforante cabeza hexagonal 8x1 x100
Tornillo para madera 4x40,Tornilleria,600,caja 100u,Tornillo para madera cabeza avellanada 4x40mm x100
Tarugo 8mm con tornillo,Tornilleria,400,bolsa 10u,Tarugo nylon 8mm con tornillo incluido bolsa x10
Clavo punta paris 2 pulgadas,Tornilleria,1200,kg,Clavo punta paris 2 pulgadas precio por kilo
Candado bronce 40mm,Cerraduras,5500,unidad,Candado de bronce macizo 40mm con 3 llaves
Cerradura de embutir,Cerraduras,12000,unidad,Cerradura de embutir para puerta interior con manija
Manija doble balancin cromada,Cerraduras,8500,unidad,Manija doble balancin cromada para puerta
Silicona transparente 280ml,Adhesivos,3500,unidad,Silicona acetica transparente cartucho 280ml
Adhesivo de contacto 1L,Adhesivos,6500,lata 1L,Adhesivo de contacto doble uso lata 1 litro
Cinta ducto gris 48mm,Adhesivos,4200,unidad,Cinta ducto multiuso gris 48mm por 50 metros
Lampara LED 10W fria,Iluminacion,2200,unidad,Lampara LED 10W luz fria 6500K E27
Lampara LED 10W calida,Iluminacion,2200,unidad,Lampara LED 10W luz calida 3000K E27
Tubo LED 18W 120cm,Iluminacion,4500,unidad,Tubo LED T8 18W 120cm luz fria con base
Foco dicroico LED GU10 7W,Iluminacion,3000,unidad,Foco dicroico LED GU10 7W luz calida
